-99.36,548.78,182.16
-105.8,560.74,178.48
-106.72,561.66,180.32
-103.96,559.82,177.56
-102.12,557.98,181.24
-102.12,553.38,183.08
-106.72,563.5,176.64
-100.28,547.86,181.24
-100.28,547.86,181.24
-100.28,547.86,181.24
-101.2,551.54,181.24
-101.2,557.98,178.48
-104.88,567.18,175.72
-100.28,547.86,181.24
-102.12,557.98,177.56
-100.28,544.18,180.32
-107.64,561.66,176.64
-104.88,562.58,178.48
-99.36,543.26,180.32
-99.36,543.26,180.32
-99.36,543.26,180.32
-104.88,558.9,181.24
-106.72,561.66,179.4
-104.88,562.58,177.56
-103.04,550.62,180.32
-105.8,557.98,179.4
-103.96,546.94,179.4
-101.2,543.26,179.4
-100.28,546.02,182.16
-100.28,546.02,182.16
-100.28,546.02,182.16
-99.36,549.7,182.16
-104.88,565.34,178.48
-103.96,567.18,177.56
-101.2,553.38,178.48
-100.28,545.1,179.4
-103.04,557.98,179.4
-98.44,546.02,178.48
-102.12,556.14,179.4
-99.36,557.06,175.72
-104.88,564.42,177.56
-104.88,564.42,177.56
-104.88,564.42,177.56
-101.2,543.26,178.48
-107.64,564.42,176.64
-104.88,556.14,178.48
-103.04,546.94,183.08
-105.8,560.74,177.56
-102.12,547.86,179.4
-103.04,563.5,178.48
-96.6,547.86,182.16
-96.6,547.86,182.16
-96.6,547.86,182.16
-83.72,551.54,195.04
-69,543.26,203.32
-55.2,558.9,212.52
-34.96,550.62,217.12
-8.28,537.74,226.32
15.64,552.46,227.24
43.24,546.02,229.08
72.68,547.86,223.56
72.68,547.86,223.56
72.68,547.86,223.56
139.84,533.14,203.32
167.44,531.3,182.16
190.44,539.58,155.48
212.52,544.18,122.36
233.68,527.62,90.16
244.72,533.14,48.76
242.88,546.02,3.68
242.88,531.3,-38.64
224.48,544.18,-78.2
224.48,544.18,-78.2
207,534.06,-110.4
175.72,544.18,-143.52
142.6,535.9,-165.6
99.36,541.42,-179.4
56.12,549.7,-190.44
9.2,567.18,-188.6
-34.04,567.18,-173.88
-68.08,550.62,-154.56
-103.96,573.62,-128.8
-103.96,573.62,-128.8
-103.96,573.62,-128.8
-150.88,568.1,-65.32
-163.76,563.5,-19.32
-171.12,573.62,17.48
-166.52,564.42,55.2
-155.48,554.3,93.84
-148.12,567.18,128.8
-126.96,560.74,160.08
-104.88,561.66,183.08
-104.88,561.66,183.08
-104.88,561.66,183.08
-46,557.06,217.12
-22.08,556.14,223.56
9.2,546.02,232.76
43.24,537.74,228.16
60.72,554.3,228.16
90.16,533.14,220.8
108.56,544.18,216.2
135.24,528.54,204.24
135.24,528.54,204.24
135.24,528.54,204.24
168.36,542.34,177.56
176.64,543.26,170.2
189.52,546.02,155.48
200.56,544.18,138.92
212.52,527.62,127.88
217.12,534.98,118.68
226.32,538.66,102.12
230.92,534.98,92
230,542.34,74.52
230,542.34,74.52
241.04,529.46,63.48
